City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,Garissa,-0.4536,39.6401,87.28,49,74,14.81,KE,2023-10-29 18:02:35
294,Den Helder,52.9599,4.7593,53.98,89,75,28.01,NL,2023-10-29 18:02:35
295,Kruisfontein,-34.0033,24.7314,52.23,60,7,6.76,ZA,2023-10-29 18:02:36
296,Khandyga,62.6667,135.6,18.43,97,100,2.64,RU,2023-10-29 18:02:36
297,Anatuya,-28.4606,-62.8347,101.59,28,0,6.13,AR,2023-10-29 18:01:44
298,Kievka,50.2619,71.5514,45.27,96,100,13.35,KZ,2023-10-29 18:02:36
299,Rikaze,29.25,88.8833,39.99,55,82,4.14,CN,2023-10-29 18:02:37
300,Vilyuchinsk,52.9306,158.4028,38.93,77,45,0.67,RU,2023-10-29 18:02:37
301,Tofol,5.3248,163.0078,81.09,79,98,8.93,FM,2023-10-29 18:00:31
302,Usinsk,65.9939,57.5281,11.07,87,99,5.99,RU,2023-10-29 18:02:37
303,Sumbawa Besar,-8.5,117.4333,73.45,79,26,3.87,ID,2023-10-29 18:02:37
304,Vadso,70.0744,29.7487,24.96,86,75,9.22,NO,2023-10-29 18:02:38
305,Ormara,25.2088,64.6357,80.47,76,0,10.13,PK,2023-10-29 18:02:38
306,Lerwick,60.1545,-1.1494,46.4,70,9,29.8,GB,2023-10-29 18:02:39
307,Uturoa,-16.7333,-151.4333,78.67,80,10,16.04,PF,2023-10-29 18:02:10
308,Choele Choel,-39.2667,-65.6833,68.36,12,79,42.79,AR,2023-10-29 17:59:14
309,Richards Bay,-28.783,32.0377,62.26,58,100,17.69,ZA,2023-10-29 18:02:39
310,Lazaro Cardenas,17.9583,-102.2,86.31,64,51,2.46,MX,2023-10-29 18:02:40
311,Yoloten,37.2989,62.3597,73.69,26,37,9.15,TM,2023-10-29 18:02:40
312,Asubulaq,49.5583,83.0558,35.37,99,100,4.09,KZ,2023-10-29 18:02:40
313,Aleg,17.0481,-13.9209,100.24,14,6,8.52,MR,2023-10-29 18:02:41
314,Bandar Abbas,27.1865,56.2808,84.18,65,27,6.91,IR,2023-10-29 18:02:41
315,San Antonio De Pale,-1.4014,5.6325,79.83,81,33,7.74,GQ,2023-10-29 18:02:41
316,Cedeira,43.6797,-8.0209,55.38,77,78,17.22,ES,2023-10-29 18:02:42
317,Qarazhal,48.0078,70.7903,50.07,89,100,11.65,KZ,2023-10-29 18:02:42
318,Mantua,45.1667,10.7833,60.04,93,88,1.99,IT,2023-10-29 18:02:42
319,Laguna,38.421,-121.4238,66.29,30,0,12.66,US,2023-10-29 18:01:16
320,Santa Ines,-3.6667,-45.38,102.96,21,24,7.0,BR,2023-10-29 18:02:42
321,Pisco,-13.7,-76.2167,74.01,73,0,13.8,PE,2023-10-29 18:02:43
322,Chibougamau,49.9168,-74.3659,28.02,64,100,10.36,CA,2023-10-29 18:02:34
323,Zouerate,22.7187,-12.4521,90.45,11,6,5.1,MR,2023-10-29 18:02:43
324,Ambon,-3.6954,128.1814,77.14,88,20,9.22,ID,2023-10-29 18:02:43
325,Faya-Largeau,17.9257,19.1043,85.26,13,1,12.82,TD,2023-10-29 18:02:43
326,Igarka,67.4667,86.5833,2.34,97,59,2.15,RU,2023-10-29 18:02:44
327,Anna Regina,7.2644,-58.5077,85.71,68,99,12.21,GY,2023-10-29 18:02:44
328,Beboto,8.2668,16.939,80.58,65,42,3.0,TD,2023-10-29 18:02:44
329,Guiuan,11.0333,125.7247,82.96,75,76,7.29,PH,2023-10-29 18:02:44
330,Orange Beach,30.2944,-87.5736,84.13,69,75,8.99,US,2023-10-29 18:02:44
331,Cabedelo,-6.9811,-34.8339,86.67,62,68,16.2,BR,2023-10-29 18:02:44
332,Island Harbour,50.724,-1.2758,54.0,84,78,7.0,GB,2023-10-29 18:02:45
333,Mount Gambier,-37.8333,140.7667,50.83,88,90,9.04,AU,2023-10-29 18:02:45
334,Papao,-17.75,-149.55,78.48,81,26,18.25,PF,2023-10-29 18:02:45
335,Vila Franca Do Campo,37.7167,-25.4333,64.81,99,68,11.56,PT,2023-10-29 18:02:45
336,As Sulayyil,20.4607,45.5779,84.45,32,98,9.42,SA,2023-10-29 18:02:45
337,Namibe,-15.1961,12.1522,69.24,80,53,5.79,AO,2023-10-29 18:02:45
338,Carbondale,37.7273,-89.2168,50.0,94,100,8.05,US,2023-10-29 18:02:46
339,Ifrane,33.3333,-5.25,54.52,62,84,7.05,MA,2023-10-29 18:02:46
340,Mossel Bay,-34.1831,22.146,57.13,60,3,23.73,ZA,2023-10-29 18:02:46
341,Aykhal,66.0,111.5,-8.97,97,94,6.76,RU,2023-10-29 18:02:46
342,Tuy Hoa,13.0833,109.3,77.0,91,52,4.54,VN,2023-10-29 18:00:23
343,Bajina Basta,43.9708,19.5675,58.48,66,0,3.94,RS,2023-10-29 18:02:47
344,Baganga,7.5739,126.56,77.04,85,15,4.83,PH,2023-10-29 18:02:47
345,Morondava,-20.2833,44.2833,78.24,75,0,15.1,MG,2023-10-29 18:02:47
346,Heyuan,23.7333,114.6833,72.52,88,83,2.04,CN,2023-10-29 18:02:48
347,Shevchenko,48.5,35.0,54.5,70,35,0.4,UA,2023-10-29 18:02:48
348,Kingscliff,-28.2667,153.5667,60.94,88,18,3.44,AU,2023-10-29 18:02:48
349,Fort St. John,56.2499,-120.8529,21.09,79,100,3.44,CA,2023-10-29 18:00:36
350,Lucea,18.451,-78.1736,85.86,69,17,11.54,JM,2023-10-29 18:02:48
351,Samarinda,-0.5,117.15,73.65,91,44,0.76,ID,2023-10-29 18:02:48
352,Mostovskoy,44.4122,40.7936,57.65,77,99,2.19,RU,2023-10-29 18:02:49
353,Choibalsan,48.0667,114.5,22.28,26,3,3.2,MN,2023-10-29 18:02:49
354,Yutan,28.25,112.55,65.46,75,4,1.86,CN,2023-10-29 18:02:49
355,Breganze,45.7057,11.5668,61.75,94,94,1.01,IT,2023-10-29 18:02:49
356,Bandarbeyla,9.4942,50.8122,80.28,78,58,10.25,SO,2023-10-29 18:02:50
357,Rabo De Peixe,37.8,-25.5833,63.91,99,20,9.22,PT,2023-10-29 18:02:50
358,Zeya,53.75,127.2667,35.49,56,100,1.12,RU,2023-10-29 18:02:50
359,Hamilton,39.1834,-84.5333,57.99,94,100,4.61,US,2023-10-29 17:58:05
360,Aby,58.6667,16.1833,41.16,87,100,12.66,SE,2023-10-29 18:02:50
361,Pocoes,-14.5297,-40.3653,88.5,26,17,9.8,BR,2023-10-29 18:02:50
362,Badiyah,22.45,58.8,76.84,66,91,8.75,OM,2023-10-29 18:02:51
363,Superior,46.7208,-92.1041,36.45,63,100,8.05,US,2023-10-29 18:02:24
364,Juneau,58.3019,-134.4197,37.09,100,100,0.81,US,2023-10-29 18:02:51
365,Ancud,-41.8697,-73.8203,47.37,55,80,20.49,CL,2023-10-29 18:02:51
366,Luang Namtha,20.9497,101.4011,68.07,99,100,1.25,LA,2023-10-29 18:02:51
367,Sandnessjoen,66.0217,12.6316,28.92,86,20,3.44,NO,2023-10-29 18:02:51
368,Oriximina,-1.7656,-55.8661,101.86,27,49,8.03,BR,2023-10-29 18:02:51
369,Alindao,5.0267,21.2088,75.65,87,59,1.61,CF,2023-10-29 18:02:52
370,Argo,37.6333,22.7333,66.78,67,14,1.9,GR,2023-10-29 18:02:52
371,Ingeniero Jacobacci,-41.3427,-69.5448,45.12,29,86,31.0,AR,2023-10-29 18:02:52
372,Plastun,44.7561,136.2939,37.15,57,7,4.18,RU,2023-10-29 18:02:52
373,Luau,-10.7073,22.2247,72.97,66,71,1.21,AO,2023-10-29 18:02:52
374,Mek'Ele,13.4967,39.4753,62.8,73,42,12.68,ET,2023-10-29 18:02:52
375,Savelugu,9.6244,-0.8253,90.86,40,67,3.06,GH,2023-10-29 18:02:52
376,Korsakov,46.6328,142.7813,26.44,72,8,3.89,RU,2023-10-29 18:02:53
377,Kapuskasing,49.4169,-82.4331,32.09,74,75,8.05,CA,2023-10-29 18:02:25
378,Yelizovo,53.1873,158.3805,38.8,80,75,6.71,RU,2023-10-29 18:02:53
379,Kolleda,51.1833,11.2333,58.57,88,100,3.0,DE,2023-10-29 18:02:53
380,Madang,-5.2246,145.7966,76.24,90,85,2.35,PG,2023-10-29 18:02:53
381,Rio Gallegos,-51.6226,-69.2181,44.65,61,100,8.05,AR,2023-10-29 18:02:53
382,Sompeta,18.9333,84.6,75.13,64,45,3.31,IN,2023-10-29 18:02:53
383,Fada,9.5667,8.3,76.82,58,89,1.63,NG,2023-10-29 18:02:54
384,Holualoa,19.6228,-155.9522,76.78,75,58,1.99,US,2023-10-29 18:02:54
385,Manay,7.215,126.5397,76.66,84,14,5.03,PH,2023-10-29 18:02:54
386,Zinjibar,13.1287,45.3807,81.84,68,30,13.98,YE,2023-10-29 18:02:54
387,Taltal,-25.4,-70.4833,63.86,72,44,6.26,CL,2023-10-29 18:01:25
388,Az Zubayr,30.3945,47.7011,75.06,33,40,6.91,IQ,2023-10-29 18:02:55
389,Kostopil',50.8784,26.4519,50.72,78,58,9.57,UA,2023-10-29 18:02:55
390,Cidreira,-30.1811,-50.2056,75.58,74,17,11.05,BR,2023-10-29 18:02:55
391,Carolina Beach,34.0352,-77.8936,84.25,66,0,8.95,US,2023-10-29 18:02:55
392,Aliade,7.2964,8.487,84.69,61,93,4.61,NG,2023-10-29 18:02:55
393,Paso De Los Toros,-32.8167,-56.5167,87.48,41,1,8.21,UY,2023-10-29 17:59:57
394,Taoudenni,22.6783,-3.9836,93.2,10,4,2.35,ML,2023-10-29 18:02:56
395,Poso,-1.3959,120.7524,77.31,79,43,4.14,ID,2023-10-29 18:02:56
